
DBWriter Thread (22/03/16 10:56) --- collected UNIQUE-ID 0.9297510475649061 from buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 123456 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8748 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PHENYLALANINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ALKAPHOSPHA-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6-PHOSPHO-BETA-GALACTOSIDASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETYLHOMOSER-CYS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PANTEPADENYLYLTRAN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID LACTOSE6P-HYDROXY-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.4.16.4-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-6427 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PPGPPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.13.3-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PYRUVATE-CARBOXYLASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PPPGPPHYDRO-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-9952 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11065 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID MALATE-DEHYDROGENASE-ACCEPTOR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLU6PDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXNI-3 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.1.26.11-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PRDABST-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PYRROLINECARBREDUCT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11302 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PROLINE-RACEMASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11715 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID TRANSALDOL-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ORNMUTST-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11832 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID AKPTHIOL-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DEOXYADENPHOSPHOR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ORNITHINE-RACEMASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11351 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-7913 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5225 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-12002 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID XANTHOSINEPHOSPHORY-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLYC3PDEHYDROGBIOSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.2.1.96-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DEOXYGUANPHOSPHOR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GDPKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CDPKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.4.17.8-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RIBOFLAVINSYNDEAM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11743 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DTDPKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DCDPKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RIBOFLAVINSYNREDUC-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ADENPHOSPHOR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14228 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.4.17.14-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-12609 to buffer.
